TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES
2010,ES,Spain,Methane (CO2 equivalent),Agriculture,"22,756.35"
2010,ES,Spain,Nitrous oxide,Agriculture,43.39
2010,ES,Spain,Nitrous oxide (CO2 equivalent),Agriculture,"12,929.66"
2010,ES,Spain,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,ES,Spain,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,ES,Spain,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,ES,Spain,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,ES,Spain,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,ES,Spain,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-37,472.54"
2010,ES,Spain,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-37,888.37"
2010,ES,Spain,Methane,"Land use, land use change, and forestry (LULUCF)",3.5
2010,ES,Spain,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",87.62
2010,ES,Spain,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",1.1
2010,ES,Spain,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",328.21
2010,ES,Spain,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,ES,Spain,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,ES,Spain,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,ES,Spain,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,ES,Spain,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EU,European Union - 27 countries (from 2020),"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"380,960.51"
2010,EU,European Union - 27 countries (from 2020),Carbon dioxide,Agriculture,"8,702.12"
2010,EU,European Union - 27 countries (from 2020),Methane,Agriculture,"8,211.28"
2010,EU,European Union - 27 countries (from 2020),Methane (CO2 equivalent),Agriculture,"205,281.90"
2010,EU,European Union - 27 countries (from 2020),Nitrous oxide,Agriculture,560.32
2010,EU,European Union - 27 countries (from 2020),Nitrous oxide (CO2 equivalent),Agriculture,"166,976.49"
2010,EU,European Union - 27 countries (from 2020),Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,EU,European Union - 27 countries (from 2020),Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,EU,European Union - 27 countries (from 2020),Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,EU,European Union - 27 countries (from 2020),Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,EU,European Union - 27 countries (from 2020),Nitrogen trifluoride (CO2 equivalent),Agriculture,:
